24 Feb 2016 15:52:32:203; Test started on localhost.localdomain machine
24 Feb 2016 15:52:32:203; >Start test method: testDial
24 Feb 2016 15:52:32:215; Execute: findElementByAccessibilityId(dial pad)
24 Feb 2016 15:52:32:951; Execute: click(dialPad)
24 Feb 2016 15:52:35:577; Execute: findElementByAccessibilityId(0)
24 Feb 2016 15:52:36:747; Execute: waitToBeVisible(zero)
24 Feb 2016 15:52:39:022; Execute: longPress(zero)
24 Feb 2016 15:52:40:187; Execute: findElementByClassName(android.widget.EditText)
24 Feb 2016 15:52:40:325; Execute: waitToBeVisible(plus)
24 Feb 2016 15:52:41:919; Execute: getText(plus)
24 Feb 2016 15:52:41:959; >Success testing method: testDial
24 Feb 2016 15:52:41:961; $$$$ Test ended! $$$$
24 Feb 2016 15:52:41:962; ----------------------------------------------------------------------------
24 Feb 2016 15:53:49:162; ----------------------------------------------------------------------------
24 Feb 2016 15:53:49:173; ----------------------------------------------------------------------------
24 Feb 2016 15:54:02:051; $$$$ Test ended! $$$$
24 Feb 2016 15:54:02:052; ----------------------------------------------------------------------------
24 Feb 2016 15:54:04:352; $$$$ Test ended! $$$$
24 Feb 2016 15:54:04:353; ----------------------------------------------------------------------------
24 Feb 2016 17:00:10:240; ----------------------------------------------------------------------------
24 Feb 2016 17:00:43:358; ----------------------------------------------------------------------------
24 Feb 2016 17:00:47:205; Test started on localhost.localdomain machine
24 Feb 2016 17:00:47:210; >Start test method: testHybridApp
24 Feb 2016 17:01:09:745; ----------------------------------------------------------------------------
24 Feb 2016 17:01:12:962; Test started on localhost.localdomain machine
24 Feb 2016 17:01:12:965; >Start test method: testHybridApp
24 Feb 2016 17:03:27:735; ----------------------------------------------------------------------------
24 Feb 2016 17:03:43:328; Test started on localhost.localdomain machine
24 Feb 2016 17:03:43:328; >Start test method: testHybridApp
24 Feb 2016 17:03:43:341; Execute: findElement(By.id(com.example.testapp:id/urlField)
24 Feb 2016 17:03:43:391; Execute: findElement(By.id(com.example.testapp:id/goButton)
24 Feb 2016 17:03:43:423; Execute: waitToBeVisible(urlField)
24 Feb 2016 17:03:43:485; Execute: waitToBeVisible(goButton)
24 Feb 2016 17:03:43:510; Execute: sendKeys( urlField)
24 Feb 2016 17:03:48:749; Execute: click(goButton)
24 Feb 2016 17:03:49:933; context = NATIVE_APP
24 Feb 2016 17:03:49:934; context = WEBVIEW_com.example.testapp
24 Feb 2016 17:03:55:579; Execute: switchContentToWeb(WEBVIEW_com.example.testapp)
24 Feb 2016 17:03:55:580; Execute: hideKeyboard()
24 Feb 2016 17:03:56:845; Execute: findElement(By.name(q)
24 Feb 2016 17:03:57:350; Execute: waitToBeVisible(searchField)
24 Feb 2016 17:03:57:431; Execute: sendKeys(searchField)
24 Feb 2016 17:03:59:338; Execute: sendKeys( searchField)
24 Feb 2016 17:04:02:786; context = NATIVE_APP
24 Feb 2016 17:04:02:788; context = WEBVIEW_com.example.testapp
24 Feb 2016 17:04:02:979; Execute: switchContentToNative(NATIVE_APP)
24 Feb 2016 17:04:02:979; Execute: clear(urlField)
24 Feb 2016 17:04:09:599; Execute: waitToBeVisible(urlField)
24 Feb 2016 17:04:09:635; Execute: waitToBeVisible(goButton)
24 Feb 2016 17:04:09:658; Execute: sendKeys( urlField)
24 Feb 2016 17:04:14:969; Execute: click(goButton)
24 Feb 2016 17:04:15:846; context = NATIVE_APP
24 Feb 2016 17:04:15:847; context = WEBVIEW_com.example.testapp
24 Feb 2016 17:04:20:057; Execute: switchContentToWeb(WEBVIEW_com.example.testapp)
24 Feb 2016 17:04:20:058; Execute: findElement(By.name(q)
24 Feb 2016 17:04:20:099; Execute: waitToBeVisible(searchField)
24 Feb 2016 17:04:20:161; Execute: sendKeys(searchField)
24 Feb 2016 17:04:21:556; Execute: sendKeys( searchField)
24 Feb 2016 17:04:22:887; >Success testing method: testHybridApp
24 Feb 2016 17:04:22:898; $$$$ Test ended! $$$$
24 Feb 2016 17:04:22:899; ----------------------------------------------------------------------------
24 Feb 2016 17:06:42:771; ----------------------------------------------------------------------------
24 Feb 2016 17:06:51:690; Test started on localhost.localdomain machine
24 Feb 2016 17:06:51:690; >Start test method: testHybridApp
24 Feb 2016 17:06:51:703; Execute: findElement(By.id(com.example.testapp:id/urlField)
24 Feb 2016 17:06:52:117; Execute: findElement(By.id(com.example.testapp:id/goButton)
24 Feb 2016 17:06:52:834; Execute: waitToBeVisible(urlField)
24 Feb 2016 17:06:52:982; Execute: waitToBeVisible(goButton)
24 Feb 2016 17:06:53:053; Execute: sendKeys( urlField)
24 Feb 2016 17:06:58:464; Execute: click(goButton)
24 Feb 2016 17:06:59:605; context = NATIVE_APP
24 Feb 2016 17:06:59:605; context = WEBVIEW_com.example.testapp
24 Feb 2016 17:07:03:661; Fail to execute: switchContentToWeb(null)
24 Feb 2016 17:07:03:667; >TestFail: testHybridApp on AppTests.HybridTest class 
24 Feb 2016 17:07:03:690; Fail to execute: switchContentToNative(null)
24 Feb 2016 17:07:03:690; >TestFail: testHybridApp on AppTests.HybridTest class 
24 Feb 2016 17:07:03:726; Fail to execute: switchContentToNative(null)
24 Feb 2016 17:07:03:733; $$$$ Test ended! $$$$
24 Feb 2016 17:07:03:735; ----------------------------------------------------------------------------
24 Feb 2016 17:07:59:533; ----------------------------------------------------------------------------
24 Feb 2016 17:08:08:283; Test started on localhost.localdomain machine
24 Feb 2016 17:08:08:284; >Start test method: testHybridApp
24 Feb 2016 17:08:08:294; Execute: findElement(By.id(com.example.testapp:id/urlField)
24 Feb 2016 17:08:09:422; Execute: findElement(By.id(com.example.testapp:id/goButton)
24 Feb 2016 17:08:09:618; Execute: waitToBeVisible(urlField)
24 Feb 2016 17:08:09:714; Execute: waitToBeVisible(goButton)
24 Feb 2016 17:08:09:740; Execute: sendKeys( urlField)
24 Feb 2016 17:08:15:011; Execute: click(goButton)
24 Feb 2016 17:08:16:029; context = NATIVE_APP
24 Feb 2016 17:08:16:030; context = WEBVIEW_com.example.testapp
24 Feb 2016 17:08:20:059; Fail to execute: switchContentToWeb(null)
24 Feb 2016 17:08:20:065; >TestFail: testHybridApp on AppTests.HybridTest class 
24 Feb 2016 17:08:20:104; Fail to execute: switchContentToNative(null)
24 Feb 2016 17:08:20:105; >TestFail: testHybridApp on AppTests.HybridTest class 
24 Feb 2016 17:08:20:127; Fail to execute: switchContentToNative(null)
24 Feb 2016 17:08:20:128; $$$$ Test ended! $$$$
24 Feb 2016 17:08:20:128; ----------------------------------------------------------------------------
24 Feb 2016 17:15:44:825; ----------------------------------------------------------------------------
24 Feb 2016 17:15:53:953; Test started on localhost.localdomain machine
24 Feb 2016 17:15:53:954; >Start test method: testHybridApp
24 Feb 2016 17:15:53:968; Execute: findElement(By.id(com.example.testapp:id/urlField)
24 Feb 2016 17:15:54:664; Execute: findElement(By.id(com.example.testapp:id/goButton)
24 Feb 2016 17:15:55:333; Execute: waitToBeVisible(urlField)
24 Feb 2016 17:15:55:438; Execute: waitToBeVisible(goButton)
24 Feb 2016 17:15:55:501; Execute: sendKeys( urlField)
24 Feb 2016 17:16:01:128; Execute: click(goButton)
24 Feb 2016 17:16:02:214; context = NATIVE_APP
24 Feb 2016 17:16:02:215; context = WEBVIEW_com.example.testapp
24 Feb 2016 17:16:06:278; Fail to execute: switchContentToWeb(null)
24 Feb 2016 17:16:06:287; >TestFail: testHybridApp on AppTests.HybridTest class 
24 Feb 2016 17:16:06:307; Fail to execute: switchContentToNative(null)
24 Feb 2016 17:16:06:308; >TestFail: testHybridApp on AppTests.HybridTest class 
24 Feb 2016 17:16:06:369; Fail to execute: switchContentToNative(null)
24 Feb 2016 17:16:06:371; $$$$ Test ended! $$$$
24 Feb 2016 17:16:06:371; ----------------------------------------------------------------------------
24 Feb 2016 17:26:08:111; ----------------------------------------------------------------------------
24 Feb 2016 17:26:21:715; Test started on localhost.localdomain machine
24 Feb 2016 17:26:21:716; >Start test method: testHybridApp
24 Feb 2016 17:26:21:728; Execute: findElement(By.id(com.example.testapp:id/urlField)
24 Feb 2016 17:26:22:788; Execute: findElement(By.id(com.example.testapp:id/goButton)
24 Feb 2016 17:26:23:317; Execute: waitToBeVisible(urlField)
24 Feb 2016 17:26:23:439; Execute: waitToBeVisible(goButton)
24 Feb 2016 17:26:23:551; Execute: sendKeys( urlField)
24 Feb 2016 17:26:28:482; Execute: click(goButton)
24 Feb 2016 17:26:30:318; context = NATIVE_APP
24 Feb 2016 17:26:30:319; context = WEBVIEW_com.example.testapp
24 Feb 2016 17:26:34:358; Fail to execute: switchContentToWeb(null)
24 Feb 2016 17:26:34:367; >TestFail: testHybridApp on AppTests.HybridTest class 
24 Feb 2016 17:26:34:408; Fail to execute: switchContentToNative(null)
24 Feb 2016 17:26:34:409; >TestFail: testHybridApp on AppTests.HybridTest class 
24 Feb 2016 17:26:34:453; Fail to execute: switchContentToNative(null)
24 Feb 2016 17:26:34:460; $$$$ Test ended! $$$$
24 Feb 2016 17:26:34:460; ----------------------------------------------------------------------------
24 Feb 2016 17:29:10:471; ----------------------------------------------------------------------------
24 Feb 2016 17:29:20:579; Test started on localhost.localdomain machine
